Name,Pen,Dmg,Blunt,Trd,Lvl,Cost,Qty,Trd.,Lvl.,Cost.,Qty.,PenDur,BluntDur,FOS,FOE,FPen,FDmg,Bleed,m/s
7.62x54R HP,2.10,105,6.30,Reg,2,3150,999,,,,,36.75,2.10,200,560,1.47,73.50,39%,805
7.62x54R T-46M,4.10,85,11.05,Reg,3,10410,29,Reg,3,34800,999,67.15,56.10,180,500,2.87,59.50,25%,730
7.62x54R BT,5.50,77,16.94,Neu,4,Trade,66,,,,,84.70,61.60,220,600,3.58,50.05,25%,880
9x19mm AP,3.40,53,10.60,Ark,3,5565,29,Ark,3,26250,999,39.75,35.51,80,360,1.46,22.79,15%,410
9x19mm PBP,4.10,44,11.00,Ark,4,10050,29,,,,,48.40,46.20,100,400,1.85,19.80,15%,560
9x19mm FMJ,1.40,58,8.12,Ark,1,1005,999,,,,,24.36,19.14,70,320,0.63,26.10,15%,370
9x19mm Pst,2.10,54,8.64,Ark,2,2025,999,,,,,36.18,28.08,70,340,0.84,21.60,15%,390
9x19mm PSO,1.00,65,3.25,Ark,1,780,999,,,,,13.00,9.75,60,300,0.45,29.25,25%,350
9x19mm Luger CCI,0.60,73,5.11,Ark,3,2925,29,Ark,3,21750,999,18.25,14.60,70,340,0.21,25.55,35%,420
9x19mm RIP,0.20,102,7.14,Reg,4,8550,29,,,,,10.20,6.12,60,350,0.06,30.60,45%,380
9x19mm G T,1.80,56,8.96,Ark,2,1425,999,Reg,2,1425,999,30.80,24.08,65,340,0.72,22.00,15%,370
9x39mm SP-6,4.80,59,10.62,Reg,4,Trade,39,,,,,59.00,36.58,95,560,2.40,29.50,20%,305
9x39mm BP,5.50,56,14.00,Neu,4,Trade,66,,,,,72.80,40.32,90,450,3.30,33.60,20%,290
9x39mm SP-5,2.70,70,7.00,Reg,2,3900,999,,,,,35.00,22.40,90,400,1.08,28.00,20%,290
9x39mm SPP,3.50,67,8.71,Reg,3,7650,999,,,,,40.20,28.14,100,440,1.58,30.15,20%,310
9x39mm PAB-9,4.30,61,9.76,Reg,4,15255,29,Reg,4,46800,999,54.90,31.72,100,440,1.94,27.45,20%,320
9x39mm FMJ,1.60,73,5.84,Reg,1,2250,999,,,,,29.20,15.33,100,420,0.56,25.55,25%,330
9x19mm AP (Duplicate),3.40,53,10.60,Ark,2,Trade,66,,,,,39.75,35.51,80,360,1.46,22.79,15%,410
